时间	标题	地址	内容
2022/6/5 17:07	世界环境日丨携手绿盟与WWF 践行工业园区绿色发展	http://mp.weixin.qq.com/s?__biz=MzA3OTI0OTk3OQ==&mid=2650324017&idx=1&sn=d6beaffb0b71d877b98b6806bcb0cdf3&chksm=87ba4b65b0cdc27300aa6c1267eeb510477510c640b1228244ef8fa1cd07b2a492520fa046bc#rd	为推动绿色工业园区研究交流合作，国家级经济技术开发区绿色发展联盟秘书处与世界自然基金会（WWF）联合发起“工业园区绿色发展知行沙龙”，并在第五十个“世界环境日”来临之际，通过线上直播形式顺利举办了“生态工业园区国际实践与案例分享”主题活动。本次活动邀请了诺维信亚太区生产运营副总裁Soren Carlsen 、中国环境科学研究院副总工程师乔琦、清华大学环境学院教授/WWF水管理创新专家联合咨询委员会专家田金平、苏州工业园区管理委员会生态环境局办公室主任韩冷等各界专家畅谈国内外生态工业园区高质量创建与可持续发展趋势、创新思路与实践案例。共有来自天津市、山西省、江苏省、山东省、广西省等16个开发区、46家企业参与了本次活动。国家级经开区绿色发展联盟秘书处宋雨燕主任为活动致辞，并表示，期待能够与WWF持续开展合作，聚焦双碳目标、科学碳目标体系、可持续发展目标园区水管理创新、流域绿色发展集体行动等议题的经验交流，推动园区绿色可持续发展案例开发与推广。WWF是全球最大的环境保护组织之一，在中国从事生态环境保护和可持续发展项目的筹划、设计、实施和推广等工作，与绿盟及天津泰达低碳经济促进中心长期保持友好合作关系。WWF上海区域项目主任任文伟博士在欢迎致辞中表示，多年研究发现，保护环境需要从两个方面同时发力，一方面是保护地球上的自然资本，同时也要拿出精力来改变人类的各种行为，包括企业的生产行为、公众的消费模式、金融机构的投融资模式、政府对环境的治理模式等。工业园区是企业的集合体，如何去引导和管理这个企业集合体的行为，更好地推动协同治理模式创新和落地，是环境保护和绿色发展事业下一步面临的重要议题。诺维信亚太区生产运营副总裁Soren Carlsen就《循环经济发展圣地—丹麦卡伦堡生态工业园区实践与经验》进行分享，介绍了生态工业园区鼻祖——卡伦堡生态工业园区运用共生系统如何更好地利用资源进行循环生产的案例。他表示，希望可以将丹麦卡伦堡运行了几十年的成功实践经验推介给中国，尤其是水资源的开发与再利用方面。通过卡伦堡生态工业园区共生体系，在城市管理方的支持下，园区企业合计减少了80%的二氧化碳排放，每年节约了400万吨的地下水资源；实践证明企业的利润与可持续发展目标是可以共生的。这也是对于联合国可持续发展目标（SDGs）中目标17“促进目标实现的伙伴关系”的有力佐证。在几十年共建卡伦堡生态工业园的进程中，诺维信作为重要的生物技术企业充分发挥了专业优势。诺维信产品生产发酵过程中所产出的废料发酵醪，由于不含毒素和化学物质而具有较高的二次利用价值，后续研发出的生物制品--诺沃肥，直接用做高效肥料；与此同时，诺维信还和沼气厂合作，将发酵醪用于沼气生产，为园区提供能源。这种将工业废料转化成能量的循环方式为生态工业园带来了三重价值，不仅直接通过废料生产能源供园区其他企业所用，还能产生出新的产品，如沼气生产过程中的残留物可以作为田间肥料的干燥剂，进而节省了磷的使用。一直以来，诺维信中国始终坚持以绿色发展理念为指导，深入推进节能减排和环境保护，推动企业与自然和谐共生、与城市融合发展，共建清洁美丽世界。2020年，诺维信与世界自然基金会（WWF）开启了水资源管理创新（Water Stewardship) 领域的全球合作，以帮助我们实现对于水资源的可持续发展承诺。我们努力探索因地制宜的水管理创新路径，不仅关注减少自身及园区运营对水的影响，还关注与重要利益相关方一起减少园区所在流域的水风险，推进流域绿色发展集体行动，共创共享水资源保护与可持续利用价值。目前，我们位于天津的泰达工厂将参加工业园区绿色发展工具水管理创新指南的更新测试工作，在园区管委会、科研智库及WWF等帮助下改善用水状况，降低企业内部及价值链/供应链相关的水影响，支持泰达工业园区持续打造可持续发展最佳案例，引领绿色发展。诺维信也会继续践行绿色生态理念，争做生物科技绿色发展的驱动者，与社会各界和优秀企业一道，共同建设天蓝、水清、地净的家园！
2022/6/1 17:00	第十七届“诺维信杯”生命科学文化节在清华大学举办	http://mp.weixin.qq.com/s?__biz=MzA3OTI0OTk3OQ==&mid=2650323966&idx=1&sn=a3380143696fcaf5c5519445ae68a170&chksm=87ba4caab0cdc5bcb1df123b6f7bf7fbf4386a76f428fc2a8115bbd572d4ffec5da8b676ae72#rd	作为生物技术领域的先导企业，诺维信多年来一直积极与国内的大学和科研机构合作，推动生物技术领域的人才培养和技术转化，在应对生物科技行业快速发展对创新技术人才渴求的问题上，希望通过生命科学文化节等校园合作项目，发掘和培养更多生物科技未来人才，为行业发展未来赋能。部分选手与科协成员合影来自诺维信的吴文平博士也在活动中进行了线上发言。吴博士强调了诺维信支持生命科学文化节的初衷，即为同学们提供了解生物技术的平台，激励大家用生物技术为社会做出贡献。同时，吴博士高度赞赏本届生命科学文化节的盛况，肯定了参赛选手的精彩表现。希望继续与国内一流高等学府携手，坚持绿色、低碳和环保的发展理念，助力全球和中国的可持续发展。一直以来，诺维信通过培训、实习、设立奖学金、支持学术会议及文化活动等形式与众多科研院校开展合作，未来我们还会在生命科学这个领域与更多高校展开合作，促进生物技术领域的人才培养和技术转化。
2022/1/31 10:00	诺维信恭祝您新春快乐	http://mp.weixin.qq.com/s?__biz=MzA3OTI0OTk3OQ==&mid=2650323126&idx=1&sn=32cafa55e19823dc08378d14fe707f07&chksm=87ba4fe2b0cdc6f4c10c8940a2b588f2dae1c66a71cfc094f5d68b2448766e4342541577bc88#rd	扫描二维码或者点击阅读原文解锁我们为您准备的新春祝福
2021/12/31 17:00	2022新年快乐	http://mp.weixin.qq.com/s?__biz=MzA3OTI0OTk3OQ==&mid=2650322999&idx=1&sn=0ba88d7b47007eab04a2cdaa6ac1c13f&chksm=87ba4f63b0cdc675ac3779e74b309497041bdae08d7470707a95748ea6d5ede3e6e4beebd23a#rd	
2021/12/24 17:00	诺维信祝您圣诞快乐	http://mp.weixin.qq.com/s?__biz=MzA3OTI0OTk3OQ==&mid=2650322988&idx=1&sn=02832105ed980ccc3c8761f2c922252e&chksm=87ba4f78b0cdc66e790cafd1e932670257af0a42c8562ebc071eaccf9d10996b7d9913893260#rd	
2021/6/7 10:00	展会预告丨6月8日-10日诺维信与您相约上海FIC2021，为健康生活加码	http://mp.weixin.qq.com/s?__biz=MzA3OTI0OTk3OQ==&mid=2650320583&idx=1&sn=7444b3806919a225e8edcfa5fc85b175&chksm=87ba5993b0cdd085f1cad8b0a871d96602efabe2aba71214e2faeb8710b87ef3a702559e363d#rd	"6月8日-10日，诺维信将携创新的酶制剂解决方案参展第二十四届中国国际食品添加剂和配料展览会暨第三十届全国食品添加剂生产应用技术展示会（简称：FIC 2021）。届时，诺维信两大业务部门将同时参展FIC2021,除食品与饮料业务部门的明星酶制剂解决方案将如约亮相外，诺维信人类健康业务部门OneHealth也将携旗下重要益生菌产品亮相，两大部门携手向公众展现诺维信创新生物技术如何赋能中国食品饮料行业的发展，以及在人类大健康业务板块的技术优势。食品与饮料业务健康美味我都要诺维信创新生物酶解决方案诺维信的创新生物酶解决方案，在烘焙、动植物蛋白、乳制品、酿造、果汁和葡萄酒等多个领域，通过酶作用物的应用改善风味和外观，提升口感和质量，致力于减少化学品添加和食物浪费，促进全球食品与饮料行业的高质量可持续发展。长按识别二维码，预约体验诺维信食品与饮料业务展台展位号：21C10/21D11人类健康业务健康生活尽在掌握诺维信创新益生菌解决方案作为诺维信旗下人类健康业务品牌，OneHealth依托强大的生物技术优势和卓越的研发能力，以市场需求为导向，产品主要聚焦肠道健康、情绪健康、免疫健康、代谢健康及口腔健康五个领域。目前已经在中国市场上市五款益生菌及酶制剂产品。OneHealth为消费者提供经临床验证的益生菌和酶制剂创新解决方案，以应对现代生活方式带来的健康挑战。长按识别二维码，预约体验诺维信人类健康业务展台展位号：22C40/22D41FIC2021展会定于上海国家会展中心正式举行，来自全球的1500余家知名企业将携覆盖全行业的新产品，新技术在此隆重亮相。展会按产品分类展示，展出规模达140000平方米，覆盖5个场馆。开展期间，现场将持续开展40余场国内外参展企业新产品新技术发布会及3场食品界院士系列高峰论坛。此次参展，诺维信期待与食品饮料和人类健康业务客户、合作伙伴和消费者深入交流，共享行业机遇，共话可持续发展。展览信息汇总展会时间2021年6月8日-6月10日展会地点国家会展中心（上海）详细地址上海市崧泽大道333号诺维信食品与饮料业务展台国家会展中心（上海）2.1馆展位号：21C10/21D11诺维信人类健康业务展台国家会展中心（上海）2.2馆展位号：22C40/22D41"
2021/4/26 20:00	知识产权日 | 诺维信捍卫知识产权，商标维权战告捷	http://mp.weixin.qq.com/s?__biz=MzA3OTI0OTk3OQ==&mid=2650320154&idx=1&sn=01a044eca608e840462f9b297ed3be68&chksm=87ba5a4eb0cdd3585b5b1bb27e2fcf1fd99cafc91255316c7df26866face9f4ede9c402b8b01#rd	维护品牌权益商标维权行动传捷报近日，诺维信委托律师事务所，向南京市玄武区市场监督管理局投诉江苏某贸易有限公司（以下简称“当事人”）侵害诺维信商标权益、虚假宣传和发布违法广告的案件取得了实质性结果。南京市玄武区市场监督管理局经多方调查取证后，认定当事人存在虚假宣传、销售侵犯诺维信公司持有的“PYLOPASS”注册商标权商品、擅自变更经营住所等多个违法行为，并于4 月 13 日正式出具了《行政处罚决定书》，责令当事人立即停止该等违法违规的行为并且同时做出了没收侵权商品和罚款的处罚决定。根据《企业信息公示暂行条例》的有关规定，该行政处罚信息已由南京市玄武区市场监督管理局公示于企业信用信息公示系统、门户网站、专门网站等。类似维权案件的成功将为维护企业形象，促进创新热情，保护知识产权带来更多积极的影响。尊重知识产权坚持创新引领行业发展今天是第21个“世界知识产权日”。一直以来，诺维信非常注重对知识产权的申请和保护，公司现拥有数百个注册商标、以及6500多项有效专利、正在申请的专利和专利许可。诺维信始终坚持树立良好的品牌形象，推进生物科技自主创新，每年将年营业额的13%-14%投入研发工作。诺维信相信保护知识产权就是保护创新。深耕中国二十余年，诺维信坚持创新引领行业发展，不断加大对中国市场的研发投入。1995 年于北京落成的诺维信中国研发中心不仅是首家外资生物技术企业在华创办的研发中心，也是诺维信全球研发重要战略组成部分，在多个领域拥有全球先进的核心技术。历经20余年的发展，诺维信中国研发中心已经从微生物筛选，发展成为基础研发和应用研发相结合的综合型研发中心，科研应用领域涵盖洗涤、食品与饮料、纺织、能源和废水等诸多行业。其研发创新能力与各项专利技术获得了来自合作伙伴、客户、政府、学术界、消费大众等各方的支持与认可。政策利好坚定在华投资发展信心近年来，中国不断加大知识产权保护力度，不断优化外资企业营商环境。诺维信在维权之路上所取得的胜利离不开中国政府在这方面的重视。2021年3月，中国“十四五”规划纲要更是明确提出“实施知识产权强国战略，实行严格的知识产权保护制度，完善知识产权相关法律法规，加快新领域新业态知识产权立法”。本维权案件的成功也充分展示了中国的行政管理机关在监督执法层面切实推进知识产权保护，优化外资企业营商环境的决心和力度。面对多项政策利好诺维信中国区总裁陈晓慧女士表示：“我们相信国家对像诺维信这样的技术创新企业的商标和专利知识技术的保护，不仅能帮助我们维护自身的合法权益，同时更是维护了消费者的合法权益，为我们所在的行业创造更加良性的竞争秩序。这次商标维权行动的成功也进一步坚定了诺维信捍卫自身知识产权的决心与信心。作为一家科技创新为本的企业，我们也将继续深耕中国市场，不断为中国市场、客户和消费者提供更多更好的创新生物解决方案。”关于诺维信诺维信致力于为全球提供可持续的生物解决方案。我们与客户、合作伙伴和全球社区携手合作，在提高工业效率的同时保护地球资源，帮助打造更美好的生活。作为全球大型酶和微生物技术提供商，诺维信的生物创新可提高农业产出，实现低温洗涤、节能生产、可再生燃料和其他诸多益处，造福人类的现在和将来。关于OneHealth作为诺维信旗下人类健康业务品牌，OneHealth依托强大的生物技术优势和卓越的研发能力，以市场需求为导向，产品主要聚焦肠道健康、情绪健康、免疫健康、代谢健康及口腔健康五个领域。目前已经在中国市场上市五款益生菌及酶制剂产品。OneHealth为消费者提供经临床验证的益生菌和酶制剂创新解决方案，以应对现代生活方式带来的健康挑战。
2021/4/7 20:00	世界卫生日 | 200年人类手术史，一段不可思议的进化之路	http://mp.weixin.qq.com/s?__biz=MzA3OTI0OTk3OQ==&mid=2650320115&idx=1&sn=826c175f496c479e7f2c60e238b527e2&chksm=87ba5ba7b0cdd2b1c9e85c4b9d450455cd18999baf66265917d70ab726fd12ee370c1003f53d#rd	"以下文章来源于诺维信家居护理
，作者诺维信家居护理诺维信家居护理专注于提供高效、环保的清洁产品及解决方案。借助诺维信在酶和微生物领域的科技成果，我们致力于与全球客户携手合作，共同研发先进的生物清洁解决方案与产品，在保护地球资源的同时，助力打造美好生活。外科医生其实是街边的理发师在“兼职”手术过程医生追求的是“唯快不破”每一台手术都是众人围观的“吐槽大会”……在那个“无麻醉”“无止血”“无消毒”的三无时代，手术一不小心就会变成一场惨绝人寰的行刑表演即便有顶级名医操刀惨烈程度仍不堪直视。在由“伦敦第一快刀医生”罗伯特·李斯顿实施的一次手术中，助手因被其误伤失血过多而死，病人因为术后感染不幸身亡，还有一位现场的观众，死于惊吓过度引发的心脏病，成为了手术死亡率300%的荒诞一幕。待到我们用更先进的麻醉、止血和消毒技术解决了“疼痛难忍”“血流成河”“伤口恶化”的问题，柳叶刀才真正开始放心地在人体内“攻城略地”，由此开启了现代医学手术的大门。如何才能让你的医用清洗剂更上一层楼？诺维信“三式绝学”带你攀登“武林”高峰了解更多有关诺维信医维?医用酶信息请扫描左侧二维码"
2021/2/11 9:40	诺维信祝您新春快乐！	http://mp.weixin.qq.com/s?__biz=MzA3OTI0OTk3OQ==&mid=2650319976&idx=1&sn=5cdf9d7a662e1713dc477a8811c8293a&chksm=87ba5b3cb0cdd22a31fb412b810f1a6dcd145acf8914d8c12be42ade9d23f8069d4cdafe0f07#rd	?
2020/12/31 20:00	2021新年好，Let’s Rethink Tomorrow	http://mp.weixin.qq.com/s?__biz=MzA3OTI0OTk3OQ==&mid=2650319469&idx=1&sn=64961fd5d9b9bdcd67ea3f51e198d838&chksm=87ba5d39b0cdd42fc9868e0aa9d6bf8cd3dcad51c01bd8350033bb5eeff13ff5d0ec19ec3e82#rd	?
